"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"33","40","BY4741","YPD","MATa","11.760837882239","32","0.146061877452297","31.875","-154.389663216207","0.00349693872494435","0.087721594733091","-154.243601338754","35.7343845566185","3.08719221827592"
"34","60","BY4742","YPD","MATalpha","9.4022475976229","25.5","2.17530193976654","26.2666666666667","-221.35953320549","0.00528256098987642","0.097234214420207","-219.184231265724","29.3362077361452","3.0743219645592"
"35","80","BY4742","YPD","MATalpha","11.0290468045848","18","6.15943209886308","20.925","-305.259234508284","0.0187918947850187","0.0553639762769262","-299.099802409421","23.6703284149035","2.01862042489596"
"36","80","WT","YPD","MATa","13.8791346901324","37","-10.5797545918845","35.55","-317.51979434391","0.00287751356869073","0.0810641496940747","-328.099548935794","39.5107352449209","2.74453343615673"
"37","40","WT","YPD","MATa","8.66584069042323","31","-1.69671583587956","30.925","-142.401681152851","0.00163545842500873","0.124681976520563","-144.09839698873","33.8195313069264","4.02008652453094"
"38","60","WT","YPD","MATa","12.748102772326","41","-0.446592038182501","40.8333333333333","-236.908243977977","0.00164779539963922","0.0847309261896564","-237.35483601616","45.2502672372542","3.66687702308569"
"39","39","BY4742","YPD","MATalpha","10.4616128837553","19","1.04007628940317","19.2307692307692","-145.262250290031","0.0192904686452902","0.0636538900908115","-144.222174000628","21.6883642811181","1.94099576846008"
"40","80","BY4742","YPD","MATalpha","11.037558148133","30","1.5648578708703","30.9125","-306.784161262019","0.0040956390279063","0.0861473807243892","-305.219303391149","34.5302389661242","3.10004132832144"
"41","40","BY4742","YPD","MATalpha","8.44131324088671","23","2.29641644383057","24.775","-143.449723810232","0.00484353068679291","0.110751493901393","-141.153307366402","27.6670485357477","3.27966120955727"
"42","40","WT","YPD","MATa","8.50908262854975","20","2.22688561105596","19.825","-142.797489902449","0.0109012933822443","0.0983070163177721","-140.570604291393","22.3961825623621","2.56260367021923"
"43","40","BY4742","YPD","MATalpha","10.2301715653458","20","3.22941910746786","23.4","-150.773982640716","0.0106065010931241","0.0759847105244081","-147.544563533248","26.4731390282619","2.50566945495832"
"44","40","BY4741","YPD","MATa","12.8292284477323","31.5","1.9404989263721","30.775","-158.976344823317","0.00615460002455834","0.0687618810199712","-157.035845896945","34.7494096460055","2.66112672282604"
"45","60","BY4742","YPD","MATalpha","13.1685616887021","25","2.32056040601319","25.75","-238.140560523126","0.0122523567932311","0.0556515579320733","-235.820000117113","29.1687961694571","2.10494987418223"
"46","40","BY4741","YPD","MATa","10.7334846302444","34.5","2.46271335088417","36.35","-153.581604456991","0.00212651813053234","0.0911617409183817","-151.118891106107","40.2663164091818","3.7722317344285"
"47","40","BY4742","YPD","MATalpha","8.66114222348211","33.5","0.589932858723046","33.1","-142.603873160165","0.00105936679577095","0.129455803837036","-142.013940301442","36.3462184872652","4.49747311865431"
