"","genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC"
"35","8E RM Spore backcross rDNA sir2∆ spore","MATa","YPD",30,20,18.9,6.63245608234314,17.5,0.127686733889001,0.00827612923405473,-67.6221900836269,139.244380167254,3.11974901769357,21.1500734555656,-65.4837991609903,134.967598321981
"36","8C BY Spore backcross rDNA sir2∆ spore","MATa","YPD",30,20,19.2,8.57536250576401,20.5,0.109027647286402,0.00994249931862923,-70.3522930572796,144.704586114559,2.49572787665065,21.641767548927,-70.6012468207346,145.202493641469
"37","8F BY Spore backcross rDNA sir2∆ spore","MATa","YPD",30,20,11.1,5.00420875495396,11,0.11439505776562,0.0337490666333494,-62.380347436521,128.760694873042,2.37594847869342,12.5348445691118,-59.0487804138246,122.097560827649
"38","""Parent"" 15175 MAT RM alpha","MATalpha","YPD",30,0,0,0,0,0,0,0,0,0,0,0,0
"39","8D Spore","MATalpha","YPD",30,20,43.65,12.7868147550102,46.5,0.101744887913774,0.00067493339553839,-77.1946421618582,158.389284323716,4.30311777908322,48.1762723048389,-78.1756553305942,160.351310661188
"40","8H Spore","MATalpha","YPD",30,20,35.7,12.7943243995963,34.5,0.0802048105822902,0.00300310546981358,-78.8959409805907,161.791881961181,3.19025722753699,39.8475325127657,-78.8058736268904,161.611747253781
"41","8B Spore","MATalpha","YPD",30,20,21.2,7.01577170606192,19.5,0.122112352114247,0.00651553243913292,-68.8956879188488,141.791375837698,3.30851804894495,23.6294012453654,-66.7759396618648,137.55187932373
"42","8G Spore","MATalpha","YPD",30,20,24.75,7.55941378958086,25,0.135615042722096,0.00303427736804596,-68.8261934187236,141.652386837447,3.74868136326709,27.3210265466446,-68.4980413409719,140.996082681944
"43","8D RM Spore backcross fob1∆ rDNA spore","MATalpha","YPD",30,20,36.85,11.3521386809525,36,0.0979263107931655,0.00161897356856343,-76.3472725971664,156.694545194333,3.83447134987969,40.8479082268556,-76.1716707811885,156.343341562377
"44","8H RM Spore backcross fob1∆ rDNA spore","MATalpha","YPD",30,20,45.1,10.2951189252097,48.5,0.125156097347378,0.00025143214681196,-72.8758756333133,149.751751266627,5.65964102396213,48.8646171581861,-73.5570966243354,151.114193248671
"45","8B BY Spore backcross fob1∆ rDNA spore","MATalpha","YPD",30,20,12.05,6.87845606911441,9.5,0.0672153720173515,0.0430252289695264,-66.7204684462105,137.440936892421,1.94845590723952,13.6929728192943,-63.6922989075874,131.384597815175
"46","8G BY Spore backcross fob1∆ rDNA spore","MATalpha","YPD",30,20,11.7,5.75920316125691,10,0.10417523229559,0.0325960489843017,-64.0942793501854,132.188558700371,2.22114165171768,13.2726770926639,-61.2614998700743,126.522999740149
"47","pmr1","MATalpha","YPD",30,604,24.3576158940397,11.0658180882242,23,0.0664350646123439,0.0114779967065097,-2324.87068105675,4653.7413621135,2.341771182984,27.4989930540033,-2289.64802026696,4583.29604053392
"48","rip1","MATalpha","YPD",30,507,21.4201183431953,10.8186191056695,20,0.0662993443185714,0.0149583603266151,-1917.53143946756,3839.06287893512,2.04332783682717,24.0908288778936,-1915.24747431702,3834.49494863403
"49","hap4","MATalpha","YPD",30,1279,24.4652071931196,10.856086676807,23,0.0737507750185943,0.00986331236020821,-4878.8801401822,9761.7602803644,2.39376178321205,27.557944543176,-4846.59059512947,9697.18119025894
"50","pmr1 rip1","MATalpha","YPD",30,160,28.33125,10.0868691498048,29,0.100585047351048,0.00380875905594688,-595.320285155279,1194.64057031056,3.16897141705518,31.6834730309581,-594.832373935211,1193.66474787042
"51","hap4 pmr1","MATalpha","YPD",30,72,19.8472222222222,14.1766120848192,17,0.0320967854264988,0.0289339809007278,-281.206725263563,566.413450527125,1.34074323373064,21.5417387986533,-283.055785730327,570.111571460654
"52","pmr1","MATalpha","0.5% D",30,120,20.4,10.1280872458971,20,0.0611957432340042,0.0181838981810459,-451.059057825344,906.118115650689,2.12970494532348,23.0479739401107,-441.32825694949,886.656513898979
"53","rip1","MATalpha","0.5% D",30,20,27.1,10.0257563043236,30,0.130475142068947,0.00222305256789153,-71.4599548896702,146.91990977934,3.21023598491448,30.1137690268963,-74.3938589704331,152.787717940866
"54","hap4","MATalpha","0.5% D",30,20,23.5,8.42614977317636,24.5,0.151361334469749,0.00258205966591767,-68.0435348658686,140.087069731737,2.95817847762366,25.7247355715565,-73.1392670832611,150.278534166522
"55","pmr1 rip1","MATalpha","0.5% D",30,40,18.525,9.12867418126489,16.5,0.0736978325834549,0.0182540823038136,-145.528223264341,295.056446528682,2.18969068290589,20.9724116819999,-142.490867006286,288.981734012573
"56","hap4 pmr1","MATalpha","0.5% D",30,40,19.1,8.51484375091899,17,0.0958464111281822,0.0123182755213522,-142.64016330227,289.28032660454,2.46120798992288,21.6191481144032,-140.223848307323,284.447696614647
"57","pmr1","MATalpha","0.05% D",30,463,11.0691144708423,11.6529717088407,6,-0.00467013648056132,0.0952628652102502,-1575.5007398111,3155.0014796222,1.02107441411268,11.173913792833,-1575.95041483601,3155.90082967203
"58","rip1","MATalpha","0.05% D",30,240,25.3208333333333,9.98079658934496,24.5,0.0720318254791864,0.00972539816808027,-914.186081547569,1832.37216309514,2.68782417594123,28.4506808231927,-888.737135253878,1781.47427050776
"59","hap4","MATalpha","0.05% D",30,200,28.535,9.70669224668524,29,0.090051197652883,0.00487946713142336,-750.621645418327,1505.24329083665,3.15800381912222,31.7451199279163,-741.233211783534,1486.46642356707
"60","pmr1 rip1","MATalpha","0.05% D",30,157,19.3312101910828,14.36135686354,19,0.0303648207698068,0.0307990332695524,-611.228752797536,1226.45750559507,1.25180740239518,20.7020730190176,-616.689249433061,1237.37849886612
"61","hap4 pmr1","MATalpha","0.05% D",30,80,18.4875,13.0984526576736,17.5,0.0368976867018254,0.0298915002854214,-306.255097709727,616.510195419454,1.40769127994298,20.3144539681951,-307.156610575248,618.313221150496
"62","atg1 fob1","MATa","YPD",30,80,35.375,12.4538388164382,39.5,0.0956266706402918,0.00194950680471137,-308.590819774794,621.181639549587,3.30982948214664,39.4089233324628,-314.808778743593,633.617557487186
"63","gpr1","MATalpha","YPD",30,852,36.387323943662,12.1409748532037,38,0.087523532738518,0.00228913926042059,-3318.39707825584,6640.79415651168,3.40860117984442,40.4728398177771,-3335.1565295953,6674.31305919061
"64","atg1 gpr1","MATalpha","YPD",30,179,31.8324022346369,10.5102871134943,32,0.0898101166724402,0.00345582367662547,-681.77925928681,1367.55851857362,3.34947437951759,35.4424955212585,-674.424181688397,1352.84836337679
"65","pnc1","MATalpha","YPD",30,941,28.5143464399575,10.264225018836,29,0.0923309016278401,0.00453461780389112,-3541.22690408231,7086.45380816462,3.06931301926931,31.8824205763097,-3523.83067881554,7051.66135763109
"66","SIR2OE","MATalpha","YPD",30,2514,33.7979315831344,12.5671669256875,35,0.0770166302904353,0.00387701360766552,-9929.51373989936,19863.0274797987,2.9789104788663,37.8563221013017,-9919.57282218299,19843.145644366
"67","SIR2OE pnc1","MATalpha","YPD",30,260,35.45,12.4429741692895,37,0.0865949179613148,0.00253338386415459,-1016.18648093108,2036.37296186216,3.26278709023026,39.6196175801933,-1020.75500601417,2045.51001202834
"68","rpl20b","MATalpha","YPD",30,1904,36.3776260504202,12.7855402855719,37,0.0762763975368089,0.00318878228395598,-7565.2810357173,15134.5620714346,3.15716637476389,40.5741097397142,-7562.06000138803,15128.1200027761
